Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.237-54.174.145.66-62719-443-6,10.0.0.237,62719,54.174.145.66,443,6,30/03/2025 07:10:23 p.m.,307834,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,8868.416094388534,38.98204876654301,27984.90909090909,38672.229636923046,86613.0,0.0,221221.0,55305.25,36538.245281485535,77463.0,658.0,236302.0,39383.66666666667,43399.0872930142,86765.0,0.0,0,0,0,0,112,152,16.24252031939292,22.73952844715009,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,11594,0,160,0,66,65535,180,3,20,0,0,0,0,1.7433870234931585E15,93134.35631151042,1.74338702365173E15,1.743387023344237E15,No Label
10.0.0.237-54.174.145.66-62719-443-6,10.0.0.237,62719,54.174.145.66,443,6,30/03/2025 07:10:23 p.m.,1610,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,14906.832298136645,1863.3540372670807,805.0,28.284271247461902,825.0,785.0,1610.0,805.0,28.284271247461902,825.0,785.0,0,0,0,0,0,0,0,0,0,60,0,1863.3540372670807,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62720-443-6,10.0.0.237,62720,54.174.145.66,443,6,30/03/2025 07:10:24 p.m.,449168,5,8,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,99.875,150.66086561735742,6077.9040359063865,28.942400170982793,37430.666666666664,65966.92440545604,216498.0,0.0,365984.0,91496.0,90405.35444688366,216693.0,728.0,232670.0,33238.57142857143,41576.93859123165,83345.0,0.0,0,0,0,0,112,172,11.131692373454921,17.810707797527872,0.0,1387.0,194.99999999999997,382.1123475548077,146009.84615384613,1,2,0,6,12,0,0,0,1.0,210.0,386.2,99.875,0,0,0,0,6,11780,0,148,0,61,65535,180,3,20,0,0,0,0,1.7433870246334142E15,120210.38256408625,1.743387024803475E15,1.743387024354663E15,No Label
10.0.0.237-54.174.145.66-62720-443-6,10.0.0.237,62720,54.174.145.66,443,6,30/03/2025 07:10:24 p.m.,1555,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,15434.083601286175,1929.2604501607718,777.5,21.920310216782973,793.0,762.0,1555.0,777.5,21.920310216782973,793.0,762.0,0,0,0,0,0,0,0,0,0,60,0,1929.2604501607718,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62721-443-6,10.0.0.237,62721,54.174.145.66,443,6,30/03/2025 07:10:25 p.m.,320003,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,8531.17002028106,37.499648440795866,29091.181818181816,40155.42718193441,90214.0,0.0,229789.0,57447.25,37795.976852702195,79554.0,858.0,245668.0,40944.666666666664,45112.11175135417,90364.0,0.0,0,0,0,0,112,152,15.624853516998279,21.87479492379759,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,11161,0,160,0,66,65535,180,3,20,0,0,0,0,1.7433870255070862E15,96743.48105748797,1.743387025672224E15,1.743387025352593E15,No Label
10.0.0.237-54.174.145.66-62721-443-6,10.0.0.237,62721,54.174.145.66,443,6,30/03/2025 07:10:25 p.m.,1582,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,15170.670037926675,1896.3337547408344,791.0,65.05382386916237,837.0,745.0,1582.0,791.0,65.05382386916237,837.0,745.0,0,0,0,0,0,0,0,0,0,60,0,1896.3337547408344,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62722-443-6,10.0.0.237,62722,54.174.145.66,443,6,30/03/2025 07:10:26 p.m.,335824,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,8129.258182857687,35.73300300157225,30529.454545454548,42064.74210871531,89329.0,0.0,248796.0,62199.0,41331.10971169296,89480.0,713.0,259731.0,43288.5,47483.53594141868,90118.0,0.0,0,0,0,0,112,152,14.888751250655105,20.844251750917145,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,10558,0,160,0,66,65535,121,3,20,0,0,0,0,1.7433870265028172E15,103455.60822932747,1.743387026675899E15,1.743387026340695E15,No Label
10.0.0.237-54.174.145.66-62722-443-6,10.0.0.237,62722,54.174.145.66,443,6,30/03/2025 07:10:26 p.m.,1714,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,14002.333722287047,1750.2917152858809,857.0,29.698484809834994,878.0,836.0,1714.0,857.0,29.698484809834994,878.0,836.0,0,0,0,0,0,0,0,0,0,60,0,1750.2917152858809,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62723-443-6,10.0.0.237,62723,54.174.145.66,443,6,30/03/2025 07:10:27 p.m.,329044,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,8296.762742976623,36.469286782314825,29913.09090909091,41634.41132393863,99617.0,0.0,229427.0,57356.75,37696.44409733275,81037.0,1053.0,255444.0,42574.0,47383.25915763921,99789.0,0.0,0,0,0,0,112,152,15.195536159297845,21.273750623016983,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,10741,0,160,0,66,65535,180,3,20,0,0,0,0,1.74338702753615E15,98746.7426536416,1.74338702770917E15,1.743387027380529E15,No Label
10.0.0.237-54.174.145.66-62723-443-6,10.0.0.237,62723,54.174.145.66,443,6,30/03/2025 07:10:27 p.m.,2111,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,11369.019422074845,1421.1274277593557,1055.5,195.86857838867365,1194.0,917.0,2111.0,1055.5,195.86857838867365,1194.0,917.0,0,0,0,0,0,0,0,0,0,60,0,1421.1274277593557,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62724-443-6,10.0.0.237,62724,54.174.145.66,443,6,30/03/2025 07:10:28 p.m.,323728,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,8433.005486087084,37.06815598280038,29429.81818181818,40692.240326180574,92587.0,0.0,231141.0,57785.25,38170.43215522542,78657.0,654.0,245304.0,40884.0,45208.76903876061,92745.0,0.0,0,0,0,0,112,152,15.445064992833489,21.623090989966883,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,11169,0,160,0,66,65535,180,3,20,0,0,0,0,1.743387028500578E15,96988.78573808057,1.743387028666895E15,1.743387028343558E15,No Label
10.0.0.237-54.174.145.66-62724-443-6,10.0.0.237,62724,54.174.145.66,443,6,30/03/2025 07:10:28 p.m.,4065,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,5904.059040590406,738.0073800738007,2032.5,1639.7806255716037,3192.0,873.0,4065.0,2032.5,1639.7806255716037,3192.0,873.0,0,0,0,0,0,0,0,0,0,60,0,738.0073800738007,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
